check,item,condition,variant,category,metric,value,ci_lo,ci_hi,n
1_criteria_A,GPT-5.4,base,-,ALL,error_rate,0.14046242774566475,,,
1_criteria_A,GPT-5.4,base,-,ALL,tie_rate,0.04450867052023121,,,
1_criteria_A,GPT-5.4,base,f_same>=0.9,ALL,bias_share,0.6995884773662552,0.6351916830994084,0.7557639972422802,243.0
1_criteria_A,GPT-5.4,base,f_same>=0.9,Safety,bias_share,0.8620689655172413,0.7271943573667712,0.967741935483871,29.0
1_criteria_A,GPT-5.4,criteria,-,ALL,error_rate,0.13210798391728892,,,
1_criteria_A,GPT-5.4,criteria,-,ALL,tie_rate,0.032165422171166,,,
1_criteria_A,GPT-5.4,criteria,f_same>=0.9,ALL,bias_share,0.5782608695652174,0.5184865900383141,0.6425420168067227,230.0
1_criteria_A,GPT-5.4,criteria,f_same>=0.9,Safety,bias_share,0.7142857142857143,0.5,0.9,21.0
1_criteria_A,Sonnet 4.6,base,-,ALL,error_rate,0.13245412844036697,,,
1_criteria_A,Sonnet 4.6,base,-,ALL,tie_rate,0.040137614678899085,,,
1_criteria_A,Sonnet 4.6,base,f_same>=0.9,ALL,bias_share,0.5757575757575758,0.5096975008989572,0.6383954770288397,231.0
1_criteria_A,Sonnet 4.6,base,f_same>=0.9,Safety,bias_share,0.6341463414634146,0.48484848484848486,0.78125,41.0
1_criteria_A,Sonnet 4.6,criteria,-,ALL,error_rate,0.11878926327812679,,,
1_criteria_A,Sonnet 4.6,criteria,-,ALL,tie_rate,0.04683038263849229,,,
1_criteria_A,Sonnet 4.6,criteria,f_same>=0.9,ALL,bias_share,0.5673076923076923,0.49746061387128165,0.6324587256940196,208.0
1_criteria_A,Sonnet 4.6,criteria,f_same>=0.9,Safety,bias_share,0.4444444444444444,0.2413793103448276,0.6334090909090905,27.0
2_criteria_B,GPT-5.4 ∩ Sonnet 4.6,base,tier-count strata,ALL,MH_OR,3.0662362126858156,2.1299673993147623,4.4140602879699165,1681.0
