judge_display,category,n_error,bias_share,ci_lo,ci_hi
GPT-5.4,Factuality,48,0.6875,0.5510204081632653,0.8108235594084651
GPT-5.4,Focus,70,0.7428571428571429,0.6388888888888888,0.8412698412698413
GPT-5.4,Math,34,0.5588235294117647,0.3888888888888889,0.7222222222222222
GPT-5.4,Precise IF,62,0.6612903225806451,0.5409836065573771,0.7758620689655172
GPT-5.4,Safety,29,0.8620689655172413,0.7221666666666666,0.9697192513368983
GPT-5.4,ALL,243,0.6995884773662552,0.6416587552742616,0.7543141933497537
Sonnet 4.6,Factuality,55,0.4727272727272727,0.3333333333333333,0.6065573770491803
Sonnet 4.6,Focus,63,0.6190476190476191,0.49206349206349204,0.7391521739130433
Sonnet 4.6,Math,16,0.75,0.5,0.9411764705882353
Sonnet 4.6,Precise IF,56,0.5357142857142857,0.4074074074074074,0.6666666666666666
Sonnet 4.6,Safety,41,0.6341463414634146,0.47619047619047616,0.7837837837837838
Sonnet 4.6,ALL,231,0.5757575757575758,0.5097781217750258,0.6386800666212429
